# ------------------------------------------------------------------------------
# host         exp-id     ttc     ttc     ttc     ttc     # comp.   mem  disk
#                       total    comp     mem    disk  apps  load  load  load
#                         sec     sec     sec     sec       MFLOP MByte MByte
# ------------------------------------------------------------------------------
boskop       XXXXX.01 -------    6.57    4.38   11.19     1  4000  1000  1000
boskop       XXXXX      11.38 ------- ------- -------     1  4000  1000  1000
boskop       XXXXX.01 -------   10.03    8.73   11.06     1  6000  2000  1000
boskop       XXXXX      11.31 ------- ------- -------     1  6000  2000  1000
boskop       XXXXX.01 -------    9.79   10.92   10.30     1  6000  2500   900
boskop       XXXXX      11.20 ------- ------- -------     1  6000  2500   900
boskop       XXXXX.01 -------   10.60   10.07   10.32     1  6500  2300   900
boskop       XXXXX      10.95 ------- ------- -------     1  6500  2300   900
boskop       XXXXX.01 -------   10.70   10.05   10.30     1  6400  2300   900
boskop       XXXXX      10.96 ------- ------- -------     1  6400  2300   900
boskop       XXXXX.01 -------    9.96   10.01    9.84     1  6100  2300   850
boskop       XXXXX      10.27 ------- ------- -------     1  6100  2300   850
boskop       XXXXX.01 -------    9.96   10.06    9.65     1  6100  2300   850
boskop       XXXXX      10.22 ------- ------- -------     1  6100  2300   850
boskop       XXXXX.01 -------   10.05   10.08    9.77     1  6100  2300   850
boskop       XXXXX      10.24 ------- ------- -------     1  6100  2300   850
boskop       XXXXX.01 -------   10.11   10.17    9.74     1  6100  2300   850
boskop       XXXXX      10.34 ------- ------- -------     1  6100  2300   850
boskop       XXXXX.01 -------    9.98   10.05    9.93     1  6100  2300   850
boskop       XXXXX      10.21 ------- ------- -------     1  6100  2300   850
boskop       XXXXX.01 -------   10.05   10.03    9.76     1  6100  2300   850
boskop       XXXXX      10.22 ------- ------- -------     1  6100  2300   850
boskop       XXXXX.01 -------   10.03    9.86   10.21     1  6100  2200   875
boskop       XXXXX      10.37 ------- ------- -------     1  6100  2200   875
boskop       XXXXX.01 -------    9.96    9.87    9.98     1  6100  2200   875
boskop       XXXXX      10.14 ------- ------- -------     1  6100  2200   875
boskop       XXXXX.01 -------    9.96    9.58   10.00     1  6100  2200   875
boskop       XXXXX      10.16 ------- ------- -------     1  6100  2200   875
boskop       XXXXX.01 -------   10.03    9.63   10.09     1  6100  2200   875
boskop       XXXXX      10.25 ------- ------- -------     1  6100  2200   875
boskop       XXXXX.01 -------   10.01    9.67   13.07     1  6100  2200   875
boskop       XXXXX      18.51 ------- ------- -------     1  6100  2200   875
boskop       XXXXX.01 -------    9.95    9.82   10.11     1  6100  2250   875
boskop       XXXXX      10.30 ------- ------- -------     1  6100  2250   875
boskop       XXXXX.01 -------    9.89   10.07   10.26     1  6100  2250   875
boskop       XXXXX      10.42 ------- ------- -------     1  6100  2250   875
boskop       XXXXX.01 -------    9.95    9.82   10.15     1  6100  2250   875
boskop       XXXXX      10.31 ------- ------- -------     1  6100  2250   875
boskop       XXXXX.01 -------    9.96   10.09   10.25     1  6100  2250   875
boskop       XXXXX      10.41 ------- ------- -------     1  6100  2250   875
boskop       XXXXX.01 -------    9.80    8.73   11.62     1  6000  2000  1000
boskop       XXXXX      11.93 ------- ------- -------     1  6000  2000  1000
boskop       XXXXX.01 -------    9.78    8.97   11.53     1  6000  2000  1000
boskop       XXXXX      11.77 ------- ------- -------     1  6000  2000  1000
boskop       XXXXX.01 -------    9.88    8.73   11.75     1  6000  2000  1000
boskop       XXXXX      12.03 ------- ------- -------     1  6000  2000  1000
boskop     WS.C.01.01 -------    9.66    0.00    0.33     1  6000     0     0
boskop     WS.C.01       9.91 ------- ------- -------     1  6000     0     0
boskop     WS.C.02.01 -------   10.93    0.00    0.27     2  6000     0     0
boskop     WS.C.02.02 -------   10.87    0.00    0.27     2  6000     0     0
boskop     WS.C.02      11.15 ------- ------- -------     2  6000     0     0
boskop     WS.C.03.01 -------   11.90    0.00    0.23     3  6000     0     0
boskop     WS.C.03.02 -------   11.94    0.00    0.23     3  6000     0     0
boskop     WS.C.03.03 -------   11.92    0.00    0.21     3  6000     0     0
boskop     WS.C.03      12.16 ------- ------- -------     3  6000     0     0
boskop     WS.C.04.01 -------   12.71    0.01    0.41     4  6000     0     0
boskop     WS.C.04.02 -------   12.65    0.00    0.40     4  6000     0     0
boskop     WS.C.04.03 -------   12.71    0.01    0.38     4  6000     0     0
