sierra       XXXXX.01 -------   21.19    6.88   29.81     1  6000  2000  1000
sierra       XXXXX      30.02 ------- ------- -------     1  6000  2000  1000
sierra      SYN1.1.01 -------   28.14    3.45    2.20     1  8000  1000    72
sierra      SYN1.1      28.16 ------- ------- -------     1  8000  1000    72
sierra     WS.C.01.01 -------   21.12    0.00    0.03     1  6000     0     0
sierra     WS.C.01      21.15 ------- ------- -------     1  6000     0     0
sierra     WS.C.02.01 -------   21.09    0.01    0.03     2  6000     0     0
sierra     WS.C.02.02 -------   18.79    0.01    0.04     2  6000     0     0
sierra     WS.C.02      21.12 ------- ------- -------     2  6000     0     0
sierra     WS.C.03.01 -------   18.71    0.01    0.03     3  6000     0     0
sierra     WS.C.03.02 -------   18.71    0.01    0.06     3  6000     0     0
sierra     WS.C.03.03 -------   21.07    0.00    0.05     3  6000     0     0
sierra     WS.C.03      21.13 ------- ------- -------     3  6000     0     0
sierra     WS.C.04.01 -------   18.79    0.01    0.03     4  6000     0     0
sierra     WS.C.04.02 -------   18.81    0.00    0.04     4  6000     0     0
sierra     WS.C.04.03 -------   21.10    0.00    0.05     4  6000     0     0
sierra     WS.C.04.04 -------   21.10    0.01    0.06     4  6000     0     0
sierra     WS.C.04      21.18 ------- ------- -------     4  6000     0     0
sierra     WS.C.05.01 -------   20.43    0.01    0.03     5  6000     0     0
sierra     WS.C.05.02 -------   21.07    0.01    0.04     5  6000     0     0
sierra     WS.C.05.03 -------   21.07    0.01    0.07     5  6000     0     0
sierra     WS.C.05.04 -------   18.70    0.01    0.06     5  6000     0     0
sierra     WS.C.05.05 -------   18.22    0.00    0.05     5  6000     0     0
sierra     WS.C.05      21.15 ------- ------- -------     5  6000     0     0
sierra     WS.C.06.01 -------   18.27    0.01    0.03     6  6000     0     0
sierra     WS.C.06.02 -------   18.28    0.00    0.06     6  6000     0     0
sierra     WS.C.06.03 -------   21.11    0.01    0.05     6  6000     0     0
sierra     WS.C.06.04 -------   18.27    0.01    0.09     6  6000     0     0
sierra     WS.C.06.05 -------   18.29    0.01    0.08     6  6000     0     0
sierra     WS.C.06.06 -------   18.81    0.01    0.06     6  6000     0     0
sierra     WS.C.06      21.19 ------- ------- -------     6  6000     0     0
sierra     WS.C.07.01 -------   20.47    0.01    0.03     7  6000     0     0
sierra     WS.C.07.02 -------   20.42    0.01    0.03     7  6000     0     0
sierra     WS.C.07.03 -------   20.51    0.01    0.10     7  6000     0     0
sierra     WS.C.07.04 -------   18.25    0.01    0.11     7  6000     0     0
sierra     WS.C.07.05 -------   18.33    0.01    0.09     7  6000     0     0
sierra     WS.C.07.06 -------   20.41    0.02    0.09     7  6000     0     0
sierra     WS.C.07.07 -------   18.74    0.02    0.04     7  6000     0     0
sierra     WS.C.07      20.60 ------- ------- -------     7  6000     0     0
sierra     WS.C.08.01 -------   20.40    0.00    0.04     8  6000     0     0
sierra     WS.C.08.02 -------   18.26    0.01    0.08     8  6000     0     0
sierra     WS.C.08.03 -------   18.25    0.01    0.08     8  6000     0     0
sierra     WS.C.08.04 -------   18.27    0.01    0.17     8  6000     0     0
sierra     WS.C.08.05 -------   20.47    0.03    0.74     8  6000     0     0
sierra     WS.C.08.06 -------   18.32    0.83    0.43     8  6000     0     0
sierra     WS.C.08.07 -------   20.41    0.04    0.13     8  6000     0     0
sierra     WS.C.08.08 -------   18.28    0.01    0.41     8  6000     0     0
sierra     WS.C.08      20.59 ------- ------- -------     8  6000     0     0
sierra     WS.C.09.01 -------   20.33    0.00    0.03     9  6000     0     0
sierra     WS.C.09.02 -------   18.22    0.01    0.04     9  6000     0     0
sierra     WS.C.09.03 -------   18.26    0.01    0.04     9  6000     0     0
sierra     WS.C.09.04 -------   20.41    0.01    0.28     9  6000     0     0
sierra     WS.C.09.05 -------   18.28    0.04    0.29     9  6000     0     0
sierra     WS.C.09.06 -------   30.23    0.02    0.24     9  6000     0     0
sierra     WS.C.09.07 -------   20.48    0.09    0.27     9  6000     0     0
sierra     WS.C.09.08 -------   18.30    0.01    0.26     9  6000     0     0
sierra     WS.C.09.09 -------   29.41    0.01    2.37     9  6000     0     0
sierra     WS.C.09      30.37 ------- ------- -------     9  6000     0     0
sierra     WS.C.10.01 -------   29.91    0.01    0.03    10  6000     0     0
sierra     WS.C.10.02 -------   20.39    0.01    0.24    10  6000     0     0
sierra     WS.C.10.03 -------   18.28    0.01    0.12    10  6000     0     0
sierra     WS.C.10.04 -------   27.52    0.01    0.42    10  6000     0     0
sierra     WS.C.10.05 -------   20.42    0.01    0.44    10  6000     0     0
sierra     WS.C.10.06 -------   18.31    0.01    0.40    10  6000     0     0
sierra     WS.C.10.07 -------   18.29    0.26    0.42    10  6000     0     0
sierra     WS.C.10.08 -------   18.33    0.25    1.27    10  6000     0     0
sierra     WS.C.10.09 -------   27.62    0.02    0.38    10  6000     0     0
sierra     WS.C.10.10 -------   27.63    0.20    0.36    10  6000     0     0
sierra     WS.C.10      30.00 ------- ------- -------    10  6000     0     0
sierra     WS.C.11.01 -------   29.63    0.01    0.03    11  6000     0     0
sierra     WS.C.11.02 -------   28.42    0.01    0.17    11  6000     0     0
sierra     WS.C.11.03 -------   20.45    0.00    0.06    11  6000     0     0
sierra     WS.C.11.04 -------   20.39    0.01    0.47    11  6000     0     0
sierra     WS.C.11.05 -------   18.39    0.01    0.84    11  6000     0     0
sierra     WS.C.11.06 -------   29.53    0.10    1.35    11  6000     0     0
sierra     WS.C.11.07 -------   18.29    0.19    0.82    11  6000     0     0
sierra     WS.C.11.08 -------   27.64    0.00    0.46    11  6000     0     0
sierra     WS.C.11.09 -------   27.50    0.10    0.80    11  6000     0     0
sierra     WS.C.11.10 -------   20.33    0.19    0.78    11  6000     0     0
sierra     WS.C.11.11 -------   30.62    0.00    0.76    11  6000     0     0
sierra     WS.C.11      30.85 ------- ------- -------    11  6000     0     0
sierra     WS.C.12.01 -------   30.01    0.00    0.03    12  6000     0     0
sierra     WS.C.12.02 -------   28.41    0.01    0.04    12  6000     0     0
sierra     WS.C.12.03 -------   18.97    0.01    0.06    12  6000     0     0
sierra     WS.C.12.04 -------   29.71    0.01    0.05    12  6000     0     0
sierra     WS.C.12.05 -------   30.35    0.01    0.94    12  6000     0     0
sierra     WS.C.12.06 -------   20.54    0.01    1.24    12  6000     0     0
sierra     WS.C.12.07 -------   20.40    0.85    0.23    12  6000     0     0
sierra     WS.C.12.08 -------   27.61    0.07    0.16    12  6000     0     0
sierra     WS.C.12.09 -------   27.68    0.10    0.84    12  6000     0     0
sierra     WS.C.12.10 -------   27.75    0.08    0.72    12  6000     0     0
sierra     WS.C.12.11 -------   18.55    0.26    0.84    12  6000     0     0
sierra     WS.C.12.12 -------   28.36    0.31    0.30    12  6000     0     0
sierra     WS.C.12      30.50 ------- ------- -------    12  6000     0     0
sierra     WS.C.13.01 -------   32.36    0.01    0.03    13  6000     0     0
sierra     WS.C.13.02 -------   20.43    0.00    0.05    13  6000     0     0
sierra     WS.C.13.03 -------   30.69    0.01    0.87    13  6000     0     0
sierra     WS.C.13.04 -------   29.42    0.01    0.17    13  6000     0     0
sierra     WS.C.13.05 -------   18.28    0.01    0.89    13  6000     0     0
sierra     WS.C.13.06 -------   28.36    0.03    0.43    13  6000     0     0
sierra     WS.C.13.07 -------   27.30    0.04    1.54    13  6000     0     0
sierra     WS.C.13.08 -------   28.47    0.11    0.97    13  6000     0     0
sierra     WS.C.13.09 -------   34.23    0.12    0.97    13  6000     0     0
sierra     WS.C.13.10 -------   28.52    0.19    1.09    13  6000     0     0
sierra     WS.C.13.11 -------   34.76    0.29    0.19    13  6000     0     0
sierra     WS.C.13.12 -------   31.92    0.18    1.24    13  6000     0     0
sierra     WS.C.13.13 -------   20.43    0.27    0.82    13  6000     0     0
sierra     WS.C.13      35.04 ------- ------- -------    13  6000     0     0
sierra     WS.C.14.01 -------   32.04    0.01    0.03    14  6000     0     0
sierra     WS.C.14.02 -------   33.99    0.01    0.06    14  6000     0     0
