# host                  id     x     y     z    t_real     t_cpu     t_mem      t_io       cpu util  eff  load       mem        io
boskop            PRO.0010    10    10   250      3.37 --------- --------- ---------     23.15 0.01 0.61  0.87     95.02      0.03
boskop            PRO.0010    10    10   250      3.33 --------- --------- ---------      6.40 0.00 0.55  0.80    239.03      0.03
boskop            PRO.0010    10    10   250      3.33 --------- --------- ---------      6.38 0.00 0.55  0.74    239.03      0.03
boskop            PRO.0010    10    10   250      3.33 --------- --------- ---------      6.39 0.00 0.55  0.74    239.03      0.03
boskop            PRO.0010    10    10   250      3.33 --------- --------- ---------      6.56 0.00 0.58  0.68    239.03      0.03
boskop            PRO.0010    10    10   250      3.33 --------- --------- ---------      6.39 0.00 0.55  0.62    239.03      0.03
boskop            PRO.0010    10    10   250      3.33 --------- --------- ---------      6.42 0.00 0.55  0.62    239.03      0.03
boskop            PRO.0010    10    10   250      3.33 --------- --------- ---------      6.37 0.00 0.55  0.57    239.03      0.03
boskop            PRO.0010    10    10   250      3.33 --------- --------- ---------      6.29 0.00 0.54  0.61    239.03      0.03
boskop            PRO.0010    10    10   250      3.33 --------- --------- ---------      6.59 0.00 0.56  0.64    239.03      0.03
boskop       MEAN_PRO.0010    10    10   250      3.33 --------- --------- ---------      8.09 0.00 0.56  0.69    224.63      0.03
boskop        STD_PRO.0010    10    10   250      0.01 --------- --------- ---------      5.02 0.00 0.02  0.09     43.20      0.00
boskop       STAT_PRO.0010    10    10   250      3.33      0.01 --------- --------- --------- --------- --------- ---------      8.09      5.02 0.00 0.00 0.56 0.02  0.69  0.09    224.63     43.20      0.03      0.00
boskop            EMU.0010    10    10   250      4.65      0.02      1.31      0.16    421.04 0.07 0.53  0.64    224.39      1.00
boskop            EMU.0010    10    10   250      4.65      0.02      1.31      0.17    424.50 0.07 0.53  0.59    224.39      1.00
boskop            EMU.0010    10    10   250      4.65      0.02      1.31      0.15    430.44 0.07 0.54  0.54    224.39      1.00
boskop            EMU.0010    10    10   250      4.64      0.02      1.31      0.19    424.14 0.07 0.54  0.50    224.39      1.00
boskop            EMU.0010    10    10   250      4.64      0.02      1.31      0.16    421.59 0.07 0.54  0.46    224.39      1.00
boskop            EMU.0010    10    10   250      4.60      0.02      1.26      0.16    425.25 0.07 0.55  0.42    224.39      1.00
boskop            EMU.0010    10    10   250      4.65      0.02      1.31      0.15    425.40 0.07 0.54  0.39    224.39      1.00
boskop            EMU.0010    10    10   250      4.65      0.02      1.31      0.16    423.48 0.07 0.53  0.36    224.39      1.00
